frame,timestamp_s,brightness,saturation,edge_density,top_edge_density,bottom_edge_density,histogram_change,motion_score,scene_cut
0,0.0,101.3965,148.3849,0.037593,0.037747,0.025335,0.0,0.0,0
1,0.0333,101.5706,148.065,0.036005,0.036872,0.025103,0.01746,0.962019,0
2,0.0667,101.5921,147.8953,0.036085,0.036853,0.025084,0.017719,1.707901,0
3,0.1,101.7758,147.4092,0.035456,0.03668,0.025734,0.020037,1.466349,0
4,0.1333,101.5622,147.3268,0.035256,0.036724,0.024606,0.021409,1.646188,0
5,0.1667,101.685,146.6768,0.034494,0.036467,0.024862,0.024412,1.612433,0
6,0.2,101.5691,146.4275,0.036029,0.035933,0.024847,0.024705,1.397989,0
7,0.2333,101.645,145.7957,0.035949,0.035859,0.023276,0.023405,2.252195,0
8,0.2667,101.5203,145.621,0.037051,0.035943,0.024473,0.024621,2.058903,0
9,0.3,101.5973,144.7689,0.036842,0.035345,0.023715,0.018858,1.71025,0
10,0.3333,101.6483,143.39,0.038649,0.03538,0.025862,0.02303,2.167388,0
11,0.3667,101.6358,142.9198,0.03858,0.035162,0.026822,0.017753,1.604197,0
12,0.4,101.7808,142.3475,0.037967,0.034411,0.028817,0.018587,1.616004,0
13,0.4333,101.6285,144.3988,0.033239,0.036136,0.022143,0.071254,3.003752,0
14,0.4667,102.4762,144.602,0.028728,0.032414,0.021843,0.052298,3.426211,0
15,0.5,103.6971,142.694,0.028639,0.034055,0.018937,0.05585,3.08679,0
16,0.5333,103.9905,142.2669,0.029728,0.035854,0.019134,0.041733,1.747945,0
17,0.5667,104.3868,142.4081,0.029492,0.03531,0.019198,0.02938,0.973953,0
18,0.6,104.6791,142.3774,0.028962,0.03577,0.018287,0.02883,1.25794,0
19,0.6333,103.1667,143.8831,0.029572,0.036566,0.019454,0.037413,1.646443,0
20,0.6667,102.4536,144.8442,0.029235,0.036526,0.019824,0.028523,1.110848,0
21,0.7,102.0808,145.4145,0.029234,0.03624,0.021198,0.030504,1.082938,0
22,0.7333,101.8591,146.2854,0.028899,0.036917,0.019725,0.0194,0.55862,0
23,0.7667,102.9271,144.4963,0.028647,0.034574,0.019164,0.038122,2.085065,0
24,0.8,104.0023,142.7023,0.029749,0.036091,0.017834,0.031957,2.092431,0
25,0.8333,105.4819,139.9506,0.029855,0.034223,0.019223,0.03147,2.295347,0
26,0.8667,106.2627,138.2925,0.029889,0.034702,0.018755,0.02321,1.305521,0
27,0.9,106.4153,138.1046,0.029961,0.035271,0.017942,0.028715,1.372375,0
28,0.9333,106.4691,137.9908,0.030344,0.035953,0.017277,0.023454,1.82039,0
29,0.9667,106.9398,137.4908,0.030332,0.034613,0.016524,0.019684,1.414621,0
30,1.0,106.3324,138.558,0.028895,0.03233,0.016529,0.067765,3.468833,0
31,1.0333,107.4898,137.8497,0.029284,0.033032,0.018962,0.060055,3.529244,0
32,1.0667,107.9478,137.9436,0.027753,0.029132,0.01905,0.037715,4.397001,0
33,1.1,108.1748,138.0819,0.026782,0.028341,0.018331,0.0275,2.8215,0
34,1.1333,107.6772,139.1638,0.027141,0.027397,0.020203,0.031504,1.785076,0
35,1.1667,107.3157,140.3791,0.028225,0.028089,0.023045,0.044922,3.220494,0
36,1.2,106.6031,142.0482,0.029422,0.027506,0.024296,0.03437,2.027981,0
37,1.2333,106.2071,143.1263,0.031552,0.028074,0.024675,0.034336,2.267619,0
38,1.2667,106.1244,142.9684,0.031702,0.02846,0.024719,0.026679,0.983349,0
39,1.3,106.0894,142.9052,0.032885,0.028242,0.025763,0.02746,1.372261,0
40,1.3333,106.7444,141.2681,0.032087,0.02849,0.028034,0.0559,3.689904,0
41,1.3667,107.5068,139.7733,0.03063,0.027941,0.027162,0.031036,2.346932,0
42,1.4,108.5186,137.7835,0.030447,0.02804,0.02663,0.03341,2.636785,0
43,1.4333,109.3274,136.1779,0.030455,0.028302,0.026586,0.029058,1.810062,0
44,1.4667,110.1989,134.7297,0.030248,0.028124,0.027088,0.026587,1.171764,0
45,1.5,111.4441,132.571,0.03077,0.027387,0.028103,0.026453,0.983667,0
46,1.5333,111.8134,131.8945,0.030414,0.027229,0.027389,0.020068,0.276512,0
47,1.5667,111.9086,131.6666,0.031098,0.02715,0.027881,0.016636,0.382286,0
48,1.6,111.8431,131.6298,0.031033,0.027145,0.028423,0.016681,0.674075,0
49,1.6333,111.5999,132.05,0.031176,0.027224,0.028674,0.014537,0.600958,0
50,1.6667,110.8821,133.4112,0.033229,0.02755,0.029364,0.016491,0.619247,0
51,1.7,110.4752,134.1047,0.032489,0.02806,0.029108,0.021152,0.506177,0
52,1.7333,109.7263,135.5062,0.033631,0.028776,0.029832,0.018746,0.68966,0
53,1.7667,108.9305,136.947,0.03303,0.028391,0.030413,0.031691,0.89469,0
54,1.8,107.9892,138.9346,0.034754,0.028826,0.031619,0.026826,1.037287,0
55,1.8333,106.7705,141.2404,0.03635,0.029112,0.03159,0.036351,2.721541,0
56,1.8667,106.151,142.9041,0.038671,0.028173,0.030551,0.035571,2.268563,0
57,1.9,106.0912,143.1317,0.038467,0.029448,0.028866,0.032024,1.301309,0
58,1.9333,106.1213,142.944,0.039186,0.02891,0.029103,0.02575,1.903819,0
59,1.9667,106.2687,142.4265,0.038494,0.028667,0.0296,0.024128,2.135939,0
60,2.0,106.0342,142.4155,0.039544,0.028282,0.029649,0.022566,2.981441,0
61,2.0333,106.0917,142.1967,0.038812,0.027971,0.030383,0.027728,1.769935,0
62,2.0667,105.9897,142.0209,0.040033,0.02799,0.030398,0.031708,1.978583,0
63,2.1,106.2457,141.1699,0.039231,0.028094,0.031196,0.033841,2.373998,0
64,2.1333,106.6453,140.1779,0.037719,0.027862,0.029772,0.025237,1.894452,0
65,2.1667,106.8607,136.3981,0.037135,0.029671,0.028246,0.084941,3.012144,0
66,2.2,105.9873,134.741,0.037508,0.029463,0.029383,0.04479,2.130509,0
67,2.2333,105.7878,133.3726,0.038095,0.029532,0.03056,0.034603,1.427277,0
68,2.2667,106.3338,132.3141,0.03755,0.029335,0.028817,0.025601,2.23037,0
69,2.3,107.0399,131.907,0.035572,0.028672,0.028526,0.029565,2.177126,0
70,2.3333,107.9115,131.9455,0.034342,0.02931,0.028004,0.054974,2.996522,0
71,2.3667,107.9579,131.7358,0.034168,0.03018,0.027497,0.04185,4.209567,0
72,2.4,105.8381,134.7852,0.03259,0.032295,0.026606,0.05482,4.940443,0
73,2.4333,101.7558,141.0431,0.03387,0.032552,0.026138,0.066808,3.996722,0
74,2.4667,99.9818,143.4856,0.031233,0.031598,0.02598,0.069042,3.943451,0
75,2.5,101.1623,142.4358,0.031039,0.030763,0.024104,0.059791,2.298492,0
76,2.5333,103.7816,138.9279,0.030162,0.030175,0.022931,0.063249,3.086453,0
77,2.5667,105.5266,137.2933,0.030005,0.030649,0.022759,0.039546,3.12536,0
78,2.6,106.3351,137.8025,0.030039,0.031682,0.021956,0.075338,4.010089,0
79,2.6333,105.3042,140.7805,0.031139,0.034119,0.024704,0.047236,3.943733,0
80,2.6667,105.4085,140.6334,0.031812,0.034757,0.024,0.053352,3.522587,0
81,2.7,105.501,141.0169,0.033638,0.035958,0.023705,0.044282,4.229218,0
82,2.7333,106.1179,140.2958,0.03463,0.034935,0.02598,0.036061,2.052967,0
83,2.7667,106.5371,140.1283,0.036536,0.034584,0.0283,0.029601,1.920489,0
84,2.8,107.1451,139.1797,0.039058,0.033521,0.031132,0.032934,1.686158,0
85,2.8333,107.5938,138.6876,0.040446,0.034065,0.031821,0.022416,1.272692,0
86,2.8667,108.0025,138.2665,0.042684,0.033664,0.032905,0.027397,1.229149,0
87,2.9,107.8057,138.7419,0.044972,0.033882,0.032442,0.017274,1.086793,0
88,2.9333,108.1406,138.3547,0.046233,0.034129,0.033279,0.021451,1.169664,0
89,2.9667,107.9487,138.9855,0.048198,0.035068,0.032599,0.016069,0.961562,0
90,3.0,108.3411,138.5252,0.049364,0.034861,0.035668,0.025359,1.232163,0
91,3.0333,108.4288,138.7242,0.052189,0.035404,0.035471,0.020888,1.001978,0
92,3.0667,108.4667,138.8105,0.052273,0.035187,0.035993,0.020639,0.807484,0
93,3.1,108.3098,139.0718,0.054456,0.035819,0.035579,0.018305,0.979035,0
94,3.1333,108.2224,139.2213,0.054036,0.035844,0.035249,0.019356,0.956113,0
95,3.1667,108.226,139.314,0.055023,0.036121,0.035949,0.019924,0.963362,0
96,3.2,108.4154,139.1492,0.056809,0.036764,0.037278,0.022012,1.005806,0
97,3.2333,108.6409,138.7429,0.056727,0.036764,0.03784,0.023184,0.998196,0
98,3.2667,108.633,138.9591,0.058841,0.036818,0.037879,0.019291,1.141975,0
99,3.3,108.8335,138.647,0.058382,0.036917,0.038322,0.01787,0.798514,0
100,3.3333,108.8513,138.6597,0.058464,0.037248,0.037658,0.015495,0.841932,0
101,3.3667,108.8442,138.7731,0.057862,0.036951,0.038268,0.019721,0.916866,0
102,3.4,109.0029,138.4285,0.056826,0.036951,0.038426,0.020173,0.905846,0
103,3.4333,109.2254,138.0356,0.057941,0.037693,0.03915,0.020698,1.177999,0
104,3.4667,109.1438,138.1574,0.058266,0.037727,0.039736,0.016431,0.699256,0
105,3.5,109.3575,137.8033,0.056492,0.038019,0.039219,0.020601,0.905411,0
106,3.5333,109.3901,137.8297,0.057438,0.038192,0.039347,0.020593,0.981539,0
107,3.5667,109.1827,138.2701,0.058394,0.038395,0.040258,0.016924,0.767168,0
108,3.6,109.2917,137.9403,0.057985,0.038108,0.040189,0.024163,1.012786,0
109,3.6333,109.0896,138.078,0.059399,0.038419,0.041371,0.019333,1.002808,0
110,3.6667,109.2796,137.5375,0.058789,0.038049,0.040849,0.017896,0.706923,0
111,3.7,109.1346,137.8376,0.060691,0.038167,0.040169,0.016224,0.536126,0
112,3.7333,109.258,137.7395,0.060807,0.03796,0.041036,0.015058,0.767555,0
113,3.7667,109.3873,137.5928,0.061642,0.038044,0.040539,0.016977,0.716161,0
114,3.8,109.3762,137.4819,0.063193,0.038479,0.040184,0.017931,0.808529,0
115,3.8333,109.6715,136.8441,0.063189,0.038469,0.040943,0.017717,0.786025,0
116,3.8667,109.7843,136.6177,0.061875,0.03835,0.040874,0.019437,0.835072,0
117,3.9,109.731,136.7242,0.062594,0.037984,0.040943,0.016486,0.706672,0
118,3.9333,109.8481,136.5665,0.062142,0.038414,0.040312,0.014509,0.755642,0
119,3.9667,109.8608,136.5822,0.060719,0.038711,0.040307,0.017819,0.829881,0
120,4.0,109.7577,136.7287,0.061221,0.037989,0.03981,0.020794,1.259213,0
121,4.0333,113.4101,130.4272,0.026351,0.031875,0.018307,0.436946,2.953684,1
122,4.0667,113.321,129.7788,0.027321,0.03316,0.018543,0.029743,4.127583,0
123,4.1,112.7382,130.1716,0.030901,0.035221,0.019252,0.037639,3.732939,0
124,4.1333,112.6639,130.2565,0.031424,0.035315,0.019395,0.014299,0.37621,0
125,4.1667,112.6491,130.2574,0.031531,0.035404,0.01941,0.008351,0.109818,0
126,4.2,112.6408,130.2345,0.031787,0.035434,0.01944,0.006826,3.949359,0
127,4.2333,112.6195,130.2368,0.03202,0.035454,0.01944,0.006581,3.950672,0
128,4.2667,112.6691,130.1233,0.03244,0.035444,0.019469,0.007355,0.127844,0
129,4.3,112.8217,129.7071,0.033942,0.035562,0.019292,0.016043,2.007926,0
130,4.3333,112.9313,129.1173,0.034838,0.035632,0.019627,0.01818,3.469409,0
131,4.3667,113.1269,128.27,0.036998,0.035671,0.020952,0.019588,6.864906,0
132,4.4,113.1281,128.2597,0.037017,0.035671,0.020947,0.003285,2.4989,0
133,4.4333,113.3679,128.4231,0.036823,0.035676,0.020942,0.013762,0.031192,0
134,4.4667,113.3908,128.4029,0.036916,0.035676,0.020947,0.004673,2.494339,0
135,4.5,117.5252,131.1404,0.032744,0.024076,0.020996,0.12856,8.238987,0
136,4.5333,117.882,131.1308,0.032597,0.023295,0.020927,0.021872,3.821079,0
137,4.5667,118.1635,131.0816,0.032183,0.022687,0.02107,0.022234,4.488146,0
138,4.6,118.6088,131.0419,0.032054,0.022034,0.02108,0.024184,3.754216,0
139,4.6333,118.3738,131.0901,0.030608,0.015218,0.021089,0.029671,6.768146,0
140,4.6667,114.9662,131.1305,0.035367,0.022351,0.036505,0.110908,6.281847,0
141,4.7,111.8746,130.6997,0.036822,0.025227,0.033225,0.080664,0.894525,0
142,4.7333,110.9188,130.1212,0.03672,0.024743,0.031462,0.032701,0.271115,0
143,4.7667,111.0099,130.0054,0.037805,0.03187,0.031166,0.037493,0.257809,0
144,4.8,111.0541,129.9266,0.036903,0.028806,0.031526,0.037274,0.161943,0
145,4.8333,111.0242,130.0668,0.037376,0.031386,0.030984,0.03486,0.077254,0
146,4.8667,110.9952,129.8717,0.037488,0.031702,0.028502,0.033365,0.107419,0
147,4.9,110.9946,129.8229,0.037453,0.031524,0.029556,0.032641,0.07927,0
148,4.9333,111.0426,129.7812,0.037389,0.031366,0.02961,0.025322,0.029394,0
149,4.9667,111.021,129.8174,0.037418,0.031509,0.029605,0.025242,0.021039,0
150,5.0,115.9112,122.5029,0.032547,0.026982,0.028645,0.074706,3.885297,0
151,5.0333,117.3691,120.5694,0.029782,0.024165,0.028132,0.038487,3.299089,0
152,5.0667,118.7148,118.4793,0.030088,0.024011,0.028384,0.049106,3.974421,0
153,5.1,118.7174,118.5128,0.030029,0.024011,0.028384,0.008376,0.031694,0
154,5.1333,118.6991,118.4872,0.029988,0.023962,0.028384,0.006942,3.177827,0
155,5.1667,118.7029,118.5384,0.030011,0.023977,0.028467,0.005009,0.014217,0
156,5.2,118.2708,119.2294,0.030636,0.023987,0.028955,0.018922,4.437257,0
157,5.2333,118.2677,119.254,0.030651,0.024046,0.028901,0.005668,4.192996,0
158,5.2667,118.2652,119.2578,0.030497,0.024046,0.028925,0.00361,4.19133,0
159,5.3,118.2657,119.2613,0.030452,0.024041,0.028901,0.004067,4.188365,0
160,5.3333,118.2588,119.2679,0.030479,0.024041,0.028901,0.002158,4.192533,0
161,5.3667,118.2592,119.2739,0.03047,0.024066,0.028886,0.004177,4.188378,0
162,5.4,118.26,119.2741,0.030484,0.024066,0.02893,0.002204,4.188661,0
163,5.4333,118.263,119.2977,0.030485,0.024091,0.02893,0.003493,4.19066,0
164,5.4667,113.8186,125.9515,0.031977,0.025682,0.028817,0.071636,8.259356,0
165,5.5,111.2606,129.6621,0.031861,0.027649,0.028137,0.039662,8.004037,0
166,5.5333,108.4997,134.691,0.034888,0.02934,0.029605,0.041155,7.197097,0
167,5.5667,108.1877,135.0094,0.036311,0.02891,0.029684,0.027113,2.565559,0
168,5.6,107.5596,136.0319,0.036974,0.030491,0.029955,0.01953,0.415667,0
169,5.6333,107.562,136.0085,0.036874,0.030531,0.029841,0.00704,0.021731,0
170,5.6667,107.5436,136.0297,0.036978,0.030615,0.029832,0.004385,0.012208,0
171,5.7,107.5318,136.0357,0.036972,0.030541,0.029679,0.006544,0.013645,0
172,5.7333,107.5312,136.0348,0.03715,0.030704,0.029708,0.005453,0.015702,0
173,5.7667,107.5114,136.0563,0.037083,0.030709,0.029777,0.004482,0.012417,0
