frame,timestamp_s,brightness,saturation,edge_density,top_edge_density,bottom_edge_density,histogram_change,motion_score,scene_cut
0,0.0,170.3942,60.7271,0.01603,0.028403,0.017054,0.0,0.0,0
1,0.0333,186.2638,57.0549,0.014297,0.027032,0.017056,0.155941,2.802589,0
2,0.0667,188.7752,56.4856,0.014096,0.025667,0.017043,0.065027,0.343888,0
3,0.1,189.012,55.9904,0.013872,0.025603,0.017045,0.031371,0.144905,0
4,0.1333,189.483,55.3246,0.013593,0.025691,0.01703,0.017334,0.176784,0
5,0.1667,189.457,55.3621,0.013676,0.025851,0.01719,0.00614,0.022782,0
6,0.2,189.5249,55.323,0.013634,0.025731,0.01719,0.007818,0.024288,0
7,0.2333,189.4855,55.3298,0.013693,0.025671,0.017571,0.008373,0.026448,0
8,0.2667,189.4856,55.3575,0.013744,0.025707,0.017836,0.005691,0.028265,0
9,0.3,189.4932,55.3409,0.013762,0.02577,0.01777,0.006823,0.039684,0
10,0.3333,189.4691,55.3584,0.013832,0.025847,0.017772,0.005886,0.027563,0
11,0.3667,189.4451,55.4062,0.0139,0.025919,0.018024,0.004479,0.011353,0
12,0.4,189.4403,55.4641,0.013807,0.02579,0.017783,0.006981,0.070404,0
13,0.4333,189.3835,55.5189,0.013913,0.025946,0.01805,0.00566,0.052104,0
14,0.4667,189.3386,55.6079,0.013939,0.026029,0.017947,0.006967,0.042071,0
15,0.5,189.4012,55.4881,0.014044,0.026064,0.018129,0.008037,0.043112,0
16,0.5333,189.3667,55.5124,0.013986,0.026198,0.018184,0.007333,0.032453,0
17,0.5667,189.2954,55.3262,0.014169,0.025983,0.019267,0.049167,0.172989,0
18,0.6,68.8378,56.0558,0.014911,0.025851,0.018413,0.062463,15.32753,0
19,0.6333,68.9046,55.9158,0.015194,0.026227,0.01981,0.012762,0.061953,0
20,0.6667,68.9128,55.8724,0.014897,0.025647,0.019223,0.011299,0.072987,0
21,0.7,68.9211,55.9463,0.014901,0.025693,0.019096,0.013008,0.077825,0
22,0.7333,68.9345,55.9321,0.015013,0.025941,0.019451,0.007692,0.044616,0
23,0.7667,69.2562,56.2267,0.015126,0.026055,0.018343,0.013088,0.074226,0
24,0.8,69.518,56.2138,0.015272,0.025788,0.018339,0.008787,0.062746,0
25,0.8333,69.4776,56.2415,0.015163,0.026082,0.018319,0.005327,0.021934,0
26,0.8667,69.7056,56.2919,0.015478,0.026064,0.01803,0.010739,0.094082,0
27,0.9,70.0147,56.3782,0.016047,0.026084,0.018319,0.021629,0.151827,0
28,0.9333,70.0922,56.7286,0.015963,0.026292,0.018319,0.017578,0.135499,0
