frame,timestamp_s,brightness,saturation,edge_density,top_edge_density,bottom_edge_density,histogram_change,motion_score,scene_cut
0,0.0,86.6244,28.1106,0.020114,0.0,0.0,0.0,0.0,0
1,0.0333,86.6334,28.1187,0.020161,0.0,0.0,0.006274,0.006699,0
2,0.0667,86.6309,28.1128,0.020126,0.0,0.0,0.004568,0.006631,0
3,0.1,86.7875,28.1619,0.019015,0.0,0.0,0.012284,0.015685,0
4,0.1333,86.7843,28.1581,0.019051,0.0,0.0,0.003485,0.005026,0
5,0.1667,86.7857,28.1671,0.019042,0.0,0.0,0.004149,0.00792,0
6,0.2,86.7764,28.1817,0.019052,0.0,0.0,0.004456,0.003956,0
7,0.2333,86.7714,28.196,0.019093,0.0,0.0,0.005697,0.006508,0
8,0.2667,86.7699,28.193,0.019035,0.0,0.0,0.004263,0.005386,0
9,0.3,86.7643,28.1679,0.019168,0.0,0.0,0.005353,0.00967,0
10,0.3333,86.7629,28.1748,0.019201,0.0,0.0,0.002062,0.00346,0
11,0.3667,86.7599,28.2,0.01922,0.0,0.0,0.0044,0.005634,0
12,0.4,86.7603,28.2191,0.01921,0.0,0.0,0.004416,0.005138,0
13,0.4333,86.7652,28.2206,0.019324,0.0,0.0,0.004395,0.01115,0
14,0.4667,86.7573,28.2313,0.019282,0.0,0.0,0.004206,0.005138,0
15,0.5,86.7584,28.2591,0.019219,0.0,0.0,0.006344,0.006081,0
16,0.5333,86.7597,28.2422,0.01925,0.0,0.0,0.007254,0.009249,0
17,0.5667,86.7963,28.2926,0.019253,0.0,0.0,0.014209,0.016803,0
18,0.6,86.8043,28.2801,0.019243,0.0,0.0,0.009947,0.005346,0
19,0.6333,86.7957,28.2796,0.019262,0.0,0.0,0.003471,0.007911,0
20,0.6667,86.8035,28.3103,0.019282,0.0,0.0,0.005555,0.006402,0
21,0.7,86.7916,28.3155,0.019326,0.0,0.0,0.004847,0.007713,0
22,0.7333,86.7973,28.3253,0.01922,0.0,0.0,0.00656,0.005789,0
23,0.7667,86.7891,28.3317,0.019164,0.0,0.0,0.003798,0.004194,0
24,0.8,86.7889,28.3416,0.019227,0.0,0.0,0.003033,0.005092,0
25,0.8333,86.7988,28.3858,0.019215,0.0,0.0,0.004772,0.0051,0
26,0.8667,86.7918,28.3727,0.019239,0.0,0.0,0.003555,0.005078,0
27,0.9,86.8036,28.3855,0.019239,0.0,0.0,0.004576,0.006026,0
28,0.9333,86.7969,28.3882,0.019277,0.0,0.0,0.003735,0.005781,0
29,0.9667,86.8069,28.3912,0.019251,0.0,0.0,0.003622,0.007558,0
30,1.0,86.7941,28.3927,0.019338,0.0,0.0,0.004003,0.003788,0
31,1.0333,86.7942,28.4004,0.019348,0.0,0.0,0.00405,0.009232,0
32,1.0667,86.7953,28.3997,0.019362,0.0,0.0,0.005964,0.007774,0
33,1.1,86.7968,28.4021,0.019373,0.0,0.0,0.001989,0.005109,0
34,1.1333,86.8009,28.4006,0.019304,0.0,0.0,0.005845,0.005432,0
35,1.1667,86.8554,28.2851,0.019197,0.0,0.0,0.012372,0.033781,0
36,1.2,86.858,28.2862,0.019229,0.0,0.0,0.003045,0.003995,0
37,1.2333,86.8583,28.2908,0.019228,0.0,0.0,0.004416,0.002523,0
38,1.2667,86.8621,28.299,0.019186,0.0,0.0,0.004543,0.004372,0
39,1.3,86.8629,28.2869,0.019274,0.0,0.0,0.005019,0.004607,0
40,1.3333,86.8719,28.3061,0.019253,0.0,0.0,0.004764,0.005054,0
41,1.3667,86.8655,28.2987,0.019324,0.0,0.0,0.005578,0.004099,0
42,1.4,86.8673,28.3043,0.019249,0.0,0.0,0.002926,0.004102,0
43,1.4333,86.8705,28.3029,0.019268,0.0,0.0,0.005548,0.006962,0
44,1.4667,86.8719,28.298,0.01931,0.0,0.0,0.00369,0.003976,0
45,1.5,86.8783,28.3101,0.019336,0.0,0.0,0.003307,0.004353,0
46,1.5333,86.8725,28.2993,0.019345,0.0,0.0,0.004235,0.00288,0
47,1.5667,86.874,28.3094,0.019319,0.0,0.0,0.003943,0.0046,0
48,1.6,86.8729,28.2838,0.019369,0.0,0.0,0.004767,0.009132,0
49,1.6333,86.8732,28.2863,0.019415,0.0,0.0,0.001187,0.003923,0
50,1.6667,86.9068,28.2825,0.019402,0.0,0.0,0.003302,0.008853,0
51,1.7,86.9133,28.2776,0.019384,0.0,0.0,0.00203,0.005751,0
52,1.7333,87.0352,28.1157,0.019226,0.0,0.0,0.004059,0.034737,0
53,1.7667,87.0314,28.1,0.019245,0.0,0.0,0.002209,0.004104,0
54,1.8,87.0312,28.1036,0.019241,0.0,0.0,0.001831,0.00391,0
55,1.8333,83.8979,28.3529,0.019696,0.0,0.0,0.025371,0.452868,0
56,1.8667,78.042,28.6335,0.020059,0.0,0.0,0.007752,0.207745,0
57,1.9,73.3128,29.0347,0.020047,0.0,0.0,0.012784,0.412788,0
58,1.9333,66.4057,29.5001,0.020645,0.0,0.0,0.013824,0.592146,0
59,1.9667,54.5025,29.4229,0.02014,0.0,0.0,0.008384,0.375282,0
60,2.0,54.5056,29.4054,0.020094,0.0,0.0,0.006818,0.01661,0
61,2.0333,54.4009,29.4334,0.019929,0.0,0.0,0.006926,0.080769,0
62,2.0667,54.5909,29.7875,0.019686,0.0,0.0,0.034087,0.034241,0
